ticket_id,subject,created_date,company
222980445411,"Priorität Urgent - Rechnungen werden in Hivebuy zwar als Neu hinterlegt, aber es wird nichts in der Vorschau angezeigt",2025-09-08,Hydrogenious LOHC Technologies
225118684355,"Ticket HT - High - Wiederkehrende Kosten ""Von"" Datum einfügen!",2025-09-12,Hydrogenious LOHC Technologies
251383690479,Ticket HT - Mittel,2025-10-14,Hydrogenious LOHC Technologies
265115578557,Liste aller Rechnungen zur Übersicht,2025-10-27,HYDROGENIOUS LOHC TECHNOLOGIES GmbH
265115578557,Liste aller Rechnungen zur Übersicht,2025-10-27,Hydrogenious LOHC Technologies
266395998447,Wareneingang in Hivebuy,2025-10-28,Hivebuy
269724592322,Buchhaltungstab: Filter für Rechnung,2025-10-30,DaVita Deutschland AG
286039366898,AW: [EXTERN] Re: Ticket HT -Urgent,2025-11-10,Hydrogenious LOHC Technologies
297064530123,"Ticket HT – Priorität Low - In den Bestellungen wird der Rechnungsbetrag nicht mehr dagegengerechnet.",2025-11-20,Hydrogenious LOHC Technologies
313078728892,Automatisierter PO Name,2025-12-02,STAUB & CO. - SILBERMANN GmbH
312262597868,Rückmeldung zum Termin 2.12.25,2025-12-02,Nfon AG
313078728892,Automatisierter PO Name,2025-12-02,Tabel Group
313674035392,Fwd: ext: Re: ext: Re: Übernahme Angebote in Hivebuy,2025-12-03,Hamberger Industriewerke GmbH
314049401021,"Ticket HT – Priorität Low - Anforderer sollte informiert werden, sobald der Wareneingang gebucht wurde.",2025-12-05,Hydrogenious LOHC Technologies
322796768456,Fwd: Zahlungsbedigungen -> Info von DATEV,2025-12-12,Hydrogenious LOHC Technologies
322787762406,Ticket Nr. 322787762406,2025-12-12,Tabel Group
327019109588,WG: [External] Hivebuy: Ihr Ticket wurde geschlossen #245461638342,2025-12-16,Hivebuy
334898688237,Kontierungsänderungen sichtbar machen,2025-12-29,A.S. Création Tapeten
336509437133,Mittel - Varianten müssen separat aktiviert werden,2026-01-05,Securitas Deutschland
344933740736,"Ticket HT – Priorität Urgent -Bei Katalogartikeln muss eine Einheit eingegeben werden, aber die Einheit ist nicht auswählbar, somit Fehler in der Bestellanforderung.",2026-01-09,Hydrogenious LOHC Technologies
347530354880,offene Anfrage,2026-01-12,LGI
349417913579,Budget Owners Cannot See Budgets Without Accounting/Controlling Role,2026-01-13,Oberlinhaus
351732272314,Total Budget Not Summed for Parent Categories,2026-01-14,Oxyle
352038708426,Medium - Bestellstatus und Email passen nicht zusammen WG: [External] Genehmigt zum Einkauf: Traversen gemäß Angebot AG2026031934 / SEC-023045,2026-01-14,Securitas Deutschland
360677864655,Re: Uvex - Kosten werden in Hivebuy nicht korrekt abgebildet,2026-01-22,Hivebuy
358667320550,Add field "Delivery Recipient" in Excel/CSV export under Accounting,2026-01-22,Mathias Wiemann GmbH & Co. KG
361581015232,AW: [External] Hivebuy: Ihr Ticket wurde geschlossen #312651951319,2026-01-23,Securitas Deutschland
366329720034,Improve purchase request search capabilities,2026-01-26,Tabel Group
369140643028,WG: [External] Genehmigt zum Einkauf: Umkleidebank mit Hakenleiste einseitig / SEC-023716,2026-01-29,Hivebuy
370403544253,Blend out Login option with Username/PW,2026-01-30,Securitas Deutschland
376253487296,WG: Fleecejacken mit speziellem Aviation Logo,2026-02-05,Securitas Deutschland
376058157243,"""Legal Entity"" nicht gefüllt (Excel der Bestellungen/orders)",2026-02-05,LGI
382123959499,Fwd: Tempworker Samson Personal Team GmbH - Service Periode,2026-02-10,rebuy
388237057211,Anfrage Nutzer Rolle - Wareneingang/Lager,2026-02-17,Oberlinhaus
393221832909,Info wenn Bestellung komplett,2026-02-23,AUMÜLLER AUMATIC GmbH
395705943271,Integrierte Lieferanten,2026-02-26,GWK GmbH - Arbeiten + Wohnen
395583987954,Änderungswunsch HiveBuy – Excel-Download für Bestellübersichten („Offene Anfragen“),2026-02-26,Borussia Dortmund
399598196971,Re: Rechnungsprüfung,2026-03-02,Hivebuy
400311410915,Re: Fragen zur Order Status API,2026-03-02,LGI
401210764474,Ticket HT- Hohe Priorität Übermittlung von Hivebuy zu DATEV fehlgeschlagen ( Ursache unklar),2026-03-03,Hydrogenious LOHC Technologies
401693937900,Einstellungen - Unternehmensprofil - Fehler?,2026-03-04,Oberlinhaus
404123427063,"Edit by Procurement funktioniert nicht für ""Cost recurring?""",2026-03-05,rebuy
407056781522,AW: ext: AW: ext: Re: ext: Re: ext: AW: HiveBuy Schnittstellenbeschreibung,2026-03-09,Hamberger Industriewerke GmbH
407748596938,Include SAP / External Number in Purchase Order Search,2026-03-09,Nfon AG
408834311371,Request for Update: MMS Pending Developments,2026-03-10,MediaMarktSaturn Retail Group
408738674899,Ticket Nr. 408738674899,2026-03-10,IPG Automotive
408877670600,X-Rechnung vom IT Haus,2026-03-11,HMF Smart Solutions GmbH
408971449541,WG: Sonepar - Oberlinhaus,2026-03-11,Oberlinhaus
409266692345,HiveBuy – Download-Funktion für „Offene Anfragen“ (User Story zur Umsetzung),2026-03-13,Borussia Dortmund
409281018098,Erneute Anlage | User existiert bereits | SSO Problem,2026-03-13,Tabel Group
409257234665,"Set Amazon POs to Status ""Canceled""",2026-03-13,HMF Smart Solutions GmbH
409916549356,Ticket Nr. 409916549356,2026-03-18,Oberlinhaus
410091620580,WG: Bilder Hivebuy,2026-03-19,A.S. Création Tapeten
410330598613,"New Approval Workflow - Make ""User"" / ""Requester"" selectable as condition",2026-03-23,STOCKMEIER Gruppe
410387415249,Umfirmierung Oberlinhaus - verschiedene Gesellschaften,2026-03-23,Oberlinhaus
410567639251,Produkt in Katalog,2026-03-24,BÜFA GmbH & Co. KG
411020080327,Fehler: Name 2 anstatt der Name des Lieferanten,2026-03-26,Borussia Dortmund
411064597748,Übersicht Gesellschaften inkl. VAT herunterladen,2026-03-26,Securitas Deutschland
411208410345,Addition: Short name (Name2),2026-03-27,Borussia Dortmund
411321137391,Verträge,2026-03-27,AUMÜLLER AUMATIC GmbH
411664595193,Re: Conrad Bestellungen,2026-03-30,Hivebuy
413342349542,Bitte Rechnung löschen oder rejecten,2026-04-08,rebuy
413657422015,Einschränkung Lieferanten auf Gesellschaften,2026-04-09,LGI
414044409042,Change Delivery Address with integrated supplier,2026-04-10,rebuy
414005510341,"Rabatte aus Artikelpos-Ebene (prozentual), auf Bestell-Ebene (prozentual, absolut)",2026-04-14,LGI
414233183419,Fwd: Export von Dokumenten aus Hivebuy nach SAP mit URL - NFON AG,2026-04-15,Nfon AG
414217425115,Retoure versus Lieferung nicht erhalten,2026-04-15,A.S. Création Tapeten
414246364400,Buchungstext,2026-04-15,rebuy
414217354455,Sonepar bei Suche in HiveIQ integrieren,2026-04-15,A.S. Création Tapeten
414268251367,Ansicht Bestellungen innerhalb einer Abtl.,2026-04-16,STOCKMEIER Gruppe
414345310435,Medium - Email Workflow mit aktivierten Entwurfslieferanten,2026-04-17,Securitas Deutschland
414249271539,AW: Fehlende Shopanbindung HiveiQ bei Kunde 679064 A.S. Creation,2026-04-17,A.S. Création Tapeten
414796258490,Hivebuy Rechnung Enterprise Lizenz Q2/26,2026-04-22,Nfon AG
414715433169,Ticket Nr. 414715433169,2026-04-22,Oberlinhaus
414948840682,Überschreiben des Suppliers aus dem OCR mit dem aus der PO scheint nicht funktioniert zu haben,2026-04-23,rebuy
415436579042,Re: Request for Bulk Closure of Integrated Supplier Tickets,2026-04-24,rebuy
415806594290,Internal Responsible User - Invoice Workflow not working,2026-04-27,rebuy
416005936361,Falsche Kostenstelle trotz Anpassung in der PO,2026-04-28,rebuy
415961842923,URL & individuelle Bestellnummer,2026-04-29,Securitas Deutschland
416285625535,Medium - Dashboard wird nicht richtig angezeigt,2026-04-30,Securitas Deutschland
416806621411,Brickwedde Shop,2026-05-07,Mathias Wiemann GmbH & Co. KG
417039729884,Integrated Suppliers & SSO/SCIM,2026-05-11,retarus.de
417164861675,Rolle "Inbound" - Oberlinhaus,2026-05-12,Oberlinhaus
417077246151,zusätzliche Dokumentenbezeichnungen,2026-05-12,AUMÜLLER AUMATIC GmbH
417404205281,Ticket HT – Priorität High - Rexel Anbindung funktioniert nicht,2026-05-18,Hydrogenious LOHC Technologies
417412739291,Hivebuy Release notes,2026-05-19,retarus.de
417734888659,WG: Hivebuy AVV für KI Agenten - Zusatzvereinbarung,2026-05-19,Unassigned
417923239129,Würth Bestellung abgelehnt,2026-05-21,LGI
417920861407,Open Items,2026-05-21,Securitas Deutschland
418357945590,Ticket HT – Priorität High,2026-05-22,Hydrogenious LOHC Technologies
418057839864,Restrict inbound role visibility by assigned addresses,2026-05-26,reBuy reCommerce Services GmbH & Co. KG
418057839864,Restrict inbound role visibility by assigned addresses,2026-05-26,rebuy
418613226689,Rechnung in approval pending trotz Three-way-match,2026-05-28,rebuy
418355922146,Rechnung lässt sich nicht freigeben,2026-05-28,rebuy
418282857720,Jede Rechnungs-Email muss verarbeitet werden ODER Fehlermeldung,2026-05-29,Unassigned
418651803853,Probleme beim Weiterleiten von Bestellungen in Hivebuy,2026-05-29,LGI
418278185178,Internal Responsible User - Invoice Workflow not working,2026-05-29,Unassigned
418658454747,Dateiänderung triggert einen neuen WF und 5 Änderungen,2026-05-29,Securitas Deutschland
418278185186,invoice: take supplier from PO,2026-05-29,Unassigned
418659427540,Rebuy BC: Buchungstext RE ohne Bestellbezug (414246364400),2026-05-29,Unassigned
418820374742,Fwd: [External] Re: Versandkostenpauschalen,2026-06-02,Securitas Deutschland
418893722820,REB-15889684012711,2026-06-02,rebuy
418868820179,Weiterleitung defekt? Rechnung kann nicht approved werden,2026-06-02,rebuy
418900226262,Ticket Nr. 414715433169 u. # 417164861675 Oberlinhaus,2026-06-03,Oberlinhaus
419227007168,Ticket Nr. 419227007168,2026-06-09,Tennis-Point
419207977167,Invoice in Revision cannot be forwarded,2026-06-10,rebuy
419301310706,Lange Ladezeiten der Projektliste,2026-06-11,Borussia Dortmund
419283378422,Ticket HT - Low - Bestellungen werden nicht abgeschlossen,2026-06-11,Hydrogenious LOHC Technologies
419309596921,Freigabeflows,2026-06-12,Wetzlich Optik-Präzision GmbH
419472773323,AW: Taggen/Markieren eines Mitarbeiters funktioniert nicht mehr,2026-06-16,Nfon AG
