ticket_id,alter_tage,createdate,unternehmen,betreff,hubspot_url
222980445411,350,2025-09-08,Hydrogenious LOHC Technologies,"Priorität Urgent - Rechnungen werden in Hivebuy zwar als Neu hinterlegt, aber es wird nichts in der Vorschau angezeigt",https://app.hubspot.com/contacts/tickets/222980445411
225118684355,346,2025-09-12,Hydrogenious LOHC Technologies,"Ticket HT - High - Wiederkehrende Kosten ""Von"" Datum einfügen!",https://app.hubspot.com/contacts/tickets/225118684355
251383690479,314,2025-10-14,Hydrogenious LOHC Technologies,Ticket HT - Mittel,https://app.hubspot.com/contacts/tickets/251383690479
265115578557,301,2025-10-27,HYDROGENIOUS LOHC TECHNOLOGIES GmbH / Hydrogenious LOHC Technologies,Liste aller Rechnungen zur Übersicht,https://app.hubspot.com/contacts/tickets/265115578557
266395998447,300,2025-10-28,Hivebuy,Wareneingang in Hivebuy,https://app.hubspot.com/contacts/tickets/266395998447
269724592322,298,2025-10-30,DaVita Deutschland AG,Buchhaltungstab: Filter für Rechnung,https://app.hubspot.com/contacts/tickets/269724592322
286039366898,287,2025-11-10,Hydrogenious LOHC Technologies,AW: [EXTERN] Re: Ticket HT -Urgent,https://app.hubspot.com/contacts/tickets/286039366898
297064530123,277,2025-11-20,Hydrogenious LOHC Technologies,Ticket HT – Priorität Low - In den Bestellungen wird der Rechnungsbetrag nicht mehr dagegengerechnet.,https://app.hubspot.com/contacts/tickets/297064530123
313078728892,265,2025-12-02,STAUB & CO. - SILBERMANN GmbH / Tabel Group,Automatisierter PO Name,https://app.hubspot.com/contacts/tickets/313078728892
312262597868,265,2025-12-02,Nfon AG,Rückmeldung zum Termin 2.12.25,https://app.hubspot.com/contacts/tickets/312262597868
313674035392,264,2025-12-03,Hamberger Industriewerke GmbH,Fwd: ext: Re: ext: Re: Übernahme Angebote in Hivebuy,https://app.hubspot.com/contacts/tickets/313674035392
314049401021,262,2025-12-05,Hydrogenious LOHC Technologies,"Ticket HT – Priorität Low - Anforderer sollte informiert werden, sobald der Wareneingang gebucht wurde.",https://app.hubspot.com/contacts/tickets/314049401021
322796768456,255,2025-12-12,Hydrogenious LOHC Technologies,Fwd: Zahlungsbedigungen -> Info von DATEV,https://app.hubspot.com/contacts/tickets/322796768456
322787762406,255,2025-12-12,Tabel Group,Ticket Nr. 322787762406,https://app.hubspot.com/contacts/tickets/322787762406
327019109588,251,2025-12-16,Hivebuy,WG: [External] Hivebuy: Ihr Ticket wurde geschlossen #245461638342,https://app.hubspot.com/contacts/tickets/327019109588
334898688237,238,2025-12-29,A.S. Création Tapeten,Kontierungsänderungen sichtbar machen,https://app.hubspot.com/contacts/tickets/334898688237
336509437133,231,2026-01-05,Securitas Deutschland,Mittel - Varianten müssen separat aktiviert werden,https://app.hubspot.com/contacts/tickets/336509437133
344933740736,227,2026-01-09,Hydrogenious LOHC Technologies,"Ticket HT – Priorität Urgent -Bei Katalogartikeln muss eine Einheit eingegeben werden, aber die Einheit ist nicht auswählbar, somit Fehler in der Bestellanforderung.",https://app.hubspot.com/contacts/tickets/344933740736
347530354880,224,2026-01-12,LGI,offene Anfrage,https://app.hubspot.com/contacts/tickets/347530354880
349417913579,223,2026-01-13,Oberlinhaus,Budget Owners Cannot See Budgets Without Accounting/Controlling Role,https://app.hubspot.com/contacts/tickets/349417913579
352038708426,222,2026-01-14,Securitas Deutschland,Medium - Bestellstatus und Email passen nicht zusammen WG: [External] Genehmigt zum Einkauf: Traversen gemäß Angebot AG2026031934 / SEC-023045,https://app.hubspot.com/contacts/tickets/352038708426
351732272314,222,2026-01-14,Oxyle,Total Budget Not Summed for Parent Categories,https://app.hubspot.com/contacts/tickets/351732272314
358667320550,214,2026-01-22,Mathias Wiemann GmbH & Co. KG,"Add field ""Delivery Recipient"" in Excel/CSV export under Accounting",https://app.hubspot.com/contacts/tickets/358667320550
360677864655,214,2026-01-22,Hivebuy,Re: Uvex - Kosten werden in Hivebuy nicht korrekt abgebildet,https://app.hubspot.com/contacts/tickets/360677864655
361581015232,213,2026-01-23,Securitas Deutschland,AW: [External] Hivebuy: Ihr Ticket wurde geschlossen #312651951319,https://app.hubspot.com/contacts/tickets/361581015232
366329720034,210,2026-01-26,Tabel Group,Improve purchase request search capabilities,https://app.hubspot.com/contacts/tickets/366329720034
369140643028,207,2026-01-29,Hivebuy,WG: [External] Genehmigt zum Einkauf: Umkleidebank mit Hakenleiste einseitig / SEC-023716,https://app.hubspot.com/contacts/tickets/369140643028
370403544253,206,2026-01-30,Securitas Deutschland,Blend out Login option with Username/PW,https://app.hubspot.com/contacts/tickets/370403544253
376253487296,200,2026-02-05,Securitas Deutschland,WG: Fleecejacken mit speziellem Aviation Logo,https://app.hubspot.com/contacts/tickets/376253487296
376058157243,200,2026-02-05,LGI,"""Legal Entity"" nicht gefüllt (Excel der Bestellungen/orders)",https://app.hubspot.com/contacts/tickets/376058157243
382123959499,195,2026-02-10,rebuy,Fwd: Tempworker Samson Personal Team GmbH - Service Periode,https://app.hubspot.com/contacts/tickets/382123959499
388237057211,188,2026-02-17,Oberlinhaus,Anfrage Nutzer Rolle - Wareneingang/Lager,https://app.hubspot.com/contacts/tickets/388237057211
393221832909,182,2026-02-23,AUMÜLLER AUMATIC GmbH,Info wenn Bestellung komplett,https://app.hubspot.com/contacts/tickets/393221832909
395583987954,179,2026-02-26,Borussia Dortmund,"Änderungswunsch HiveBuy – Excel-Download für Bestellübersichten (""Offene Anfragen"")",https://app.hubspot.com/contacts/tickets/395583987954
395705943271,179,2026-02-26,GWK GmbH - Arbeiten + Wohnen,Integrierte Lieferanten,https://app.hubspot.com/contacts/tickets/395705943271
399598196971,175,2026-03-02,Hivebuy,Re: Rechnungsprüfung,https://app.hubspot.com/contacts/tickets/399598196971
400311410915,175,2026-03-02,LGI,Re: Fragen zur Order Status API,https://app.hubspot.com/contacts/tickets/400311410915
401210764474,174,2026-03-03,Hydrogenious LOHC Technologies,Ticket HT- Hohe Priorität Übermittlung von Hivebuy zu DATEV fehlgeschlagen ( Ursache unklar),https://app.hubspot.com/contacts/tickets/401210764474
401693937900,173,2026-03-04,Oberlinhaus,Einstellungen - Unternehmensprofil - Fehler?,https://app.hubspot.com/contacts/tickets/401693937900
404123427063,172,2026-03-05,rebuy,"Edit by Procurement funktioniert nicht für ""Cost recurring?""",https://app.hubspot.com/contacts/tickets/404123427063
407748596938,168,2026-03-09,Nfon AG,Include SAP / External Number in Purchase Order Search,https://app.hubspot.com/contacts/tickets/407748596938
407056781522,168,2026-03-09,Hamberger Industriewerke GmbH,AW: ext: AW: ext: Re: ext: Re: ext: AW: HiveBuy Schnittstellenbeschreibung,https://app.hubspot.com/contacts/tickets/407056781522
408738674899,167,2026-03-10,IPG Automotive,Ticket Nr. 408738674899,https://app.hubspot.com/contacts/tickets/408738674899
408834311371,167,2026-03-10,MediaMarktSaturn Retail Group,Request for Update: MMS Pending Developments,https://app.hubspot.com/contacts/tickets/408834311371
408971449541,166,2026-03-11,Oberlinhaus,WG: Sonepar - Oberlinhaus,https://app.hubspot.com/contacts/tickets/408971449541
408877670600,166,2026-03-11,HMF Smart Solutions GmbH,X-Rechnung vom IT Haus,https://app.hubspot.com/contacts/tickets/408877670600
409281018098,164,2026-03-13,Tabel Group,Erneute Anlage | User existiert bereits | SSO Problem,https://app.hubspot.com/contacts/tickets/409281018098
409266692345,164,2026-03-13,Borussia Dortmund,"HiveBuy – Download-Funktion für „Offene Anfragen"" (User Story zur Umsetzung)",https://app.hubspot.com/contacts/tickets/409266692345
409257234665,164,2026-03-13,HMF Smart Solutions GmbH,"Set Amazon POs to Status ""Canceled""",https://app.hubspot.com/contacts/tickets/409257234665
409916549356,159,2026-03-18,Oberlinhaus,Ticket Nr. 409916549356,https://app.hubspot.com/contacts/tickets/409916549356
410091620580,158,2026-03-19,A.S. Création Tapeten,WG: Bilder Hivebuy,https://app.hubspot.com/contacts/tickets/410091620580
